,review,sentiment
12,So im big fan Boll work many I enjoyed movie Postal maybe im one Boll apparently bought right use Far Cry long ago even game even finsished People enjoyed killing mercs infiltrating secret research lab located tropical island be warned Far Cry This something Mr Boll schemed together along legion schmuck Feeling loneley set Mr Boll invite three his countryman play These player go name Til Schweiger Udo Kier Ralf Moeller Three name actually made self pretty big movie biz So tale go like Jack Carver played Til Schweiger yes Carver German hail bratwurst eating dude However I find Tils acting this movie pretty badass People have complained how s not really staying true whole Carver agenda only saw carver first person perspective we t really know looked like he wa kicking a However the storyline this film beyond demented We see the evil mad scientist Dr Krieger played Udo Kier making Genetically Mutated soldier GMS they called Performing his top secret research an island reminds SPOILER Vancouver reason Thats right palm tree Instead we got nice rich lumberjack wood We t even gone FAR I started CRY mehehe I not go any If wan na stay true Bolls shenanigan then go see this movie will not be disappointed delivers the true Boll experience meaning will suck There some thing worth mentioning would imply Boll a good work some area of the film a some nice boat fighting scene Until the whole cromed albino GMS squad enters the scene everything make laugh The movie Far Cry reek of scheisse s poop simpleton a fa r you wan na take a wiff go ahead BTW Carver get a very annoying sidekick make you wan na shoot the first three minute he s screen,negative
13,The cast played Shakespeare Shakespeare lost I appreciate this trying bring Shakespeare the mass why ruin something good Is because The Scottish Play favorite Shakespeare I know What I know certain Rev Bowdler hence bowdlerization tried do something similar the Victorian era In word can improve perfection I no to write I to write least ten line text English composition never my forte I to keep going say that this movie a the saying go just doe not cut,negative
14,This fantastic movie three prisoner become famous One the actor george clooney I not fan roll not bad Another good thing the movie the soundtrack The man constant sorrow I recommand this movie everybody Greetings Bart,positive
15,Kind drawn by erotic scene realize one amateurish unbelievable bit film I ever seen Sort like high school film project What Rosanna Arquette thinking And wa all stock character bizarre supposed Midwest town Pretty hard get involved one No lesson to be learned brilliant insight stilted quite ridiculous lot skin that intrigue videotaped nonsense What wa bisexual relationship nowhere all the heterosexual encounter And wa that absurd dance with everybody playing stereotyped role Give this one pas it s like million mile of bad wasted film money that could been spent starving child Aids Africa,negative
16,Some film simply not remade This one them In not bad film But fails capture flavor terror film title Liam Neeson excellent he always cast hold exception Owen Wilson just not bring right feel the character Luke But the major fault with this version it strayed far the Shirley Jackson story it attempt be grandiose lost of the thrill of the earlier film trade for snazzier special effect Again I say that and of it not a bad film But will enjoy the friction of terror in the older version much,positive
17,This movie made into one my top awful movie Horrible There continuous minute there t fight one monster another There no chance any character development busy running one sword fight another I no emotional attachment except big bad machine wanted destroy Scenes were blatantly stolen other movie LOTR Star Wars Matrix Examples The ghost scene end stolen final scene old Star Wars Yoda Obee One Vader The spider machine beginning exactly like Frodo attacked the spider Return the Kings Elijah Wood the victim both film wait hypnotizes sting victim wrap up uh hello And the whole machine v human theme WAS the Matrix Terminator There more example why waste the time And someone tell what with the Nazi Nazi There a juvenile story line rushed a juvenile conclusion The movie could decide it a child movie an adult movie wasn t much either Just awful A real disappointment say the least Save money,negative
18,I remember film first film had watched cinema picture wa dark place wa nervous wa back my Dad took my brother sister Newbury cinema Newbury Berkshire England I recall tiger the lot snow the film also the appearance Grizzly Adams actor Dan Haggery think one the tiger get shot dy If anyone know find on DVD etc please let know The cinema ha turned fitness club is a very big shame the nearest cinema is mile away would love to hear others have seen film any like,positive
19,An awful film It must been against real stinker be nominated Golden Globe They taken story first famous female Renaissance painter mangled beyond recognition My complaint not they taken liberty fact the story good would perfectly fine But simply bizarre all account the true story artist would made a far better film why they come this dishwater dull script I suppose weren enough naked people the factual version It hurriedly capped in the end a summary the artist s life could saved a couple hour they favored the rest the film with same brevity,negative
20,After success Die Hard sequel surprise really glut Die Hard movie cashed wrong guy wrong place wrong time concept That what did Cliffhanger Die Hard mountain time rescue Sly Stop My Mom Will Shoot Stallone career Cliffhanger one big nit picker dream especially those are expert mountain climbing base jumping aviation facial expression acting skill All s full excuse dismiss film one overblown pile junk Stallone even managed get acted horse However forget all nonsense it s actually a very lovable undeniably entertaining romp delivers plenty thrill unintentionally plenty laugh You got love John Lithgows sneery evilness tick every box band baddie best all permanently harassed hapless turncoat agent Rex Linn Travers He may been Henry in Portrait a Serial Killer Michael Rooker noteworthy a cringe worthy performance Hal insists on constantly shrieking in painful disbelief his captor man never hurt anybody And whilst surely it really look like Ralph Waite s Frank character grinning girl plummet her death Mention must go former London s Burning actor Craig Fairbrass the Brit bad guy come a cropper whilst using Hal a Human Football yes you can t help enjoy bit Hal needed a good kicking So forget better judgement care that could never happen lower acting expectation turn the volume enjoy And you looking Qaulen s the one wearing the helicopter,positive
21,I terrible misfortune having view b movie entirety All I say save time money This got worst b movie time shouldn even be called b movie like f movie Because fails all aspect make good movie story not interesting all all actor paper thin not all believable ha bad direction action sequence so fake it s almost funny almost The movie just packed full of crappy one liner no respectable person could find amusing least little bit This movie supposed be geared towards men all the woman it SO utterly unattractive especially old wrinkled thing come towards the end They try appear sexy those weird horrible costume they fail miserably Even of the most ridiculous b movie still give some laugh this just painful to watch,negative
22,What absolutely stunning movie hr kill watch regret too much fun Rajnikanth carry movie his shoulder although isn t anything other him I still liked The music A R Rehman take time grow you after you heard a time you really start liking it,positive
23,First let get thing straight I AM anime fan always been matter fact I used watch Speed Racer all time Preschool b I DO like several B Movies they hilarious c I like Godzilla movie lot Moving when movie first come seems like s going be usual B movie crappy FX all sudden BOOM anime come This when movie go WWWAAAAAYYYYY downhill The animation VERY bad cheap even worse what I remember SPEED RACER crissakes In fact s cheap one few scene movie I vividly remember when bunch kid run school s kid over The FX terrible dinosaur look worse Godzilla In addition transition live action animation unorganized dialogue voice especially English dub I viewed horrid I begging dad take tape DVD VHS player The thing kept surviving cracking joke comment like the robot Joel Mike MST K pick the season Honestly is the only way barely enjoy movie survive the same time Heck I planning show another fellow otaku pal of mine Halloween a B Movie night Because s stupid pretty painful watch unintentionally hilarious at the same time I giving movie a an improvement the I originally going give it According my grading scale mean Pretty much boring bad As fun counting three unless find a way to make fun of it it become fun counting to,negative
24,This worst movie I saw WorldFest also received the least amount applause afterwards I only think it receiving recognition based the amount known actor the film It great see J Beals she only the movie minute M Parker much better actress the part allowed The rest the acting hard judge the movie so ridiculous predictable The main character totally unsympathetic therefore a bore watch There is no real emotional depth the story A movie revolving an actor can get work t feel original me Nor the development the cop It feel like one many straight video movie I saw back the And even a good one those standard,negative
25,The Karen Carpenter Story show little about singer Karen Carpenter complex life Though fails giving accurate fact detail Cynthia Gibb portrays Karen not fine election She good actress play very naive sort dumb Karen Carpenter I think role needed stronger character Someone a stronger personality Louise Fletcher role Agnes Carpenter terrific doe a great job Karen mother It great song could been included a soundtrack album Unfortunately weren though movie on the top the rating USA other several country,positive
26,The Cell an exotic masterpiece dizzying trip vast mind serial killer also one talented director This conclusive evidence achieved human being unleash uninhibited imagination This boldness work pushing aside thought fall formula cliche creating something truly magnificent This best movie year date I read numerous complaint film anywhere style no substance poorly cast character bad acting To negatively criticize film miss point This movie may landmark tradition future movie hopefully follow The Cell just opened door another world imagination So slam door face tell it director Tarsem Singh t want Personally I would more welcome another movie Tarsem would love see someone try challenge We all heard talk going inside mind serial killer yes I agree genre bit overworked The were full movie trying depict make serial killer tick worked failed But The Cell not blaze trail we given new twist we are physically transported the mind presented nothing le than a fascinating journey the most mysterious subject matter ever studied I like the movie not bog u much scientific jargon trying explain Jennifer Lopez actually get enter the brain another Instead just lie on a laboratory table is wrapped look like really long Twizzlers jaunted another entity The Cell want let see all not all about I guess s some people t like True I like explanation my movie a movie venture onto new ground must let do what desire simply take I noticed the film dark it showed reality maybe contrast the bright visuals when inside the brain another Nonetheless the set design simply astonishing I t be surprised this film took home a few Oscars in cinematography best costume best director the like If it were to it at least get nominated best picture I noticed I kind been repeating Not there s nothing else to say because I t stress enough how fantastic I thought The Cell If walk the movie with a very open mind to it taken with wonder and an eye popping feast you are assured a good time I guess this film just a little much some people writing it off weird crazy I very much psychology and the imagination the human mind it right my alley Leaving the theater I heard one audience member say Whoever made movie sure a lot of good drug If I want what he smoking of,positive
27,This film tried be many thing stinging political satire Hollywood blockbuster sappy romantic comedy family value promo list go It failed miserably all them there enough interest keep from turning off end Although I appreciate spirit behind WAR INC depresses see clumsy effort especially it be taken it target reflect lack existence a serious critique rather simply the poor writing direction and production this particular film There a critique to be made the corporatization war But poking fun at it this way diminishes the true atrocity what happening Reminds a bit THREE KINGS similarly trivializes a genuine cause concern,negative
28,This movie so frustrating Everything seemed energetic I totally prepared have good time I least thought I be able stand But I wrong First weird looping It like watching America Funniest Home Videos The damn parent I hated so much The stereo typical Latino family I need speak person responsible this We need have talk That little girl wa always hanging someone I hated to mention Now the final scene transcends I must say It so gloriously bad full badness it a movie it What crappy dancing Horrible and beautiful once,negative
29,War movie Hollywood genre done redone many time clichéd dialogue rehashed plot over top action sequence seem unavoidable any conflict dealing large scale combat Once however war movie come along go grain brings truly original compelling story life silver screen The Civil War era Cold Mountain starring Jude Law Nicole Kidman Renée Zellweger such film Then calling Cold Mountain war movie entirely accurate True enough film open quite literally quick dirty battle sequence put Glory director Edward Zwick shame However Cold Mountain much Civil War period people time The story center around disgruntled Confederate soldier Inman played Jude Law becomes disgusted gruesome war homesick beautiful hamlet Cold Mountain North Carolina equally beautiful southern belle left behind Ada Monroe played Nicole Kidman At first glance setup appears formulaic romantic interest back home give audience enough sympathy root reluctant soldier tribulation battlefield Indeed the earlier segment the film relatively unimpressive even somewhat contrived Cold Mountain soon take a drastic turn though the intrepid hero Inman turn a deserter incidentally saving the audience the potentially confusing scenario wanting root the Confederates begin a long odyssey homeward Meanwhile back the farm Ada cultured way prove little use the field soon transformed something a wilderbeast Coming Ada rescue the course tough nail Ruby Thewes played Renée Zellweger help Ada put the farm back together perhaps importantly cope the loneliness isolation the war seems brought upon Ada Within two setting a vivid compelling at time disturbing portrait the war torn South unfolds The character whom Inman Ada interact surprisingly complex enhanced wonderful performance Brendan Gleeson Ruby deadbeat father Ray Winstone an unrepentant southern lawman Natalie Portman a deeply troubled isolated young mother All have been greatly affected changed the war Northern aggression mostly the worse The dark pervading anti war message accented an effective haunting score chillingly beautiful shot Virginia North Carolina communicated the audience not so much gruesome battle scene a the scarred land traumatized people which the war fought Though the weapon tactic war have changed much the past century s hellish effect the land timelessly relevant Director Anthony Minghella manages maintain gloomy mood most the film the atmosphere unfortunately denigrated a rather tepid climax doe little justice the wonderfully formed character The love story Inman Ada is awkwardly tacked onto the beginning end the film though the inherently distant abstracted even absurd nature their relationship a way fit the dismal nature the rest the plot Make mistake Cold Mountain ha neither the trait a feel good romance an inspiring war drama It is a unique vision an era is sure not only entertain also truly absorb the audience the life a people torn apart by a war entirely desperate to be rid it terrible repercussion altogether,positive
30,Taut organically gripping Edward Dmytryk Crossfire distinctive suspense thriller unlikely message movie using look device noir cycle Bivouacked Washington DC company soldier cope restlessness hanging bar Three them end stranger apartment Robert Ryan drunk belligerent beat their host Sam Levene death he happens be Jewish Police detective Robert Young investigates help Robert Mitchum assigned Ryan outfit Suspicion fall second three George Cooper ha vanished Ryan slays third buddy Steve Brodie insure silence Young close Abetted superior script John Paxton Dmytryk draw precise performance three starring Bobs Ryan naturally prototypical Angry White Male hilt Mitchum underplays his characteristic alert nonchalance his role however not central Young may never been better Gloria Grahame give first fully fledged rendition smart mouthed vulnerable tramp a sad sack leeched her life Paul Kelly haunt u small peripheral role he make memorable The politically engaged Dmytryk perhaps inevitably succumbs sermonizing pretty much confined Young reminiscence how his Irish grandfather died the hand bigot a century earlier thus incidentally stretching chronology the limit At least s attempt render explanation however glib why Ryan hate Jews hillbilly Curiously Crossfire survives even the major change wrought upon the novel it s based Richard Brooks The Brick Foxhole dealt a gay bashing murder But homosexuality still Beyond The Pale News the Holocaust however begun emerge the ash Europe Hollywood felt emboldened register protest anti Semitism the studio always quaked at the prospect offending potential ticket buyer But the change homophobia to anti Semitism work general the specific t fit smoothly The victim s chatting a lonesome drunk young soldier inviting back home look odd even though especially since s a girlfriend tow It raise the question whether scenario wa retained inadvertently left in a a discreet tip to the original engine generating Ryan s murderous rage,positive
31,Ardh Satya one finest film ever made Indian Cinema Directed great director Govind Nihalani one successful Hard Hitting Parallel Cinema also turned Commercial Success Even today Ardh Satya inspiration leading director India The film tell Real life Scenario Mumbai Police Unlike Police other city India Mumbai Police encompasses Different system altogether Govind Nihalani creates very practical Outlay real life approach Mumbai Police Environment Amongst various Police officer colleague film describes story Anand Velankar a young hot blooded Cop coming a poor family His father a harsh Police Constable Anand suffers father ideology incidence father Atrocities his mother Anand approach towards immediate action crime an inert craving his Job satisfaction The film here revolved a Plot wherein Anand constant effort crime trampled his senior This lead frustration not achieve the desired Job satisfaction Resulting the frustration his anger expressed excessive violence the remand room bar also turning an alcoholic The Spirit within still alive he constantly fight the system He aware the system the Metro the Police Politicians a inertly associated far end His compromise towards unethical practice negative Finally he get suspended The Direction a master piece thoroughly hard core One the best memorable scene when Anand break the Underworld gangster Rama Shetty house to arrest followed short conversation is fantastic At many scene the film Hair raising moment The Practical approach Script is a major Punch Alcoholism Corruption Political Influence Courage Deceptions all integral part Mumbai police even today Those aspect are dealt brilliantly Finally the film belongs to the One man show Om Puri portraying Anand Velankar traversing all his emotion absolutely brilliantly,positive
32,My first exposure Templarios good one I excited find title among offering Anchor Bay Video ha brought u cult classic Spider Baby The print quality excellent this alone t hide fact film deadly dull There a thrilling opening sequence which villager exact a terrible revenge the Templars set the whole thing motion everything else the movie slow ponderous ultimately unfulfilling Adding insult injury the movie dubbed subtitled a promised the video jacket,negative
33,One significant quote entire film pronounced halfway protagonist mafia middle man Titta Di Girolamo physically non descript middle aged man originally Salerno Southern Italy When re introduced start film living non life an elegant sterile hotel Italian speaking Canton Switzerland last ten year conducting business gradually introduced While pivotal yet apparently unremarkable scene take place employee Swiss bank normally count Di Girolamo cash tell him dollar are missing usual suitcase full tightly stacked banknote At news quietly icily threatens his coaxing bank manager wanting close his account Meanwhile tell u spectator when bluff bluff right end without fear being caught appearing ridiculous He say can bluff halfway tell truth Having eventually done bluffed halfway told truth having accepted consequence life ultimately love exactly reason behind beginning Titta Di Girolamo trouble This initially unsympathetic character scowling taciturn curt man the verge man won even reply kind chambermaid waitress say hello goodbye becomes one point someone the spectator care deeply At one point his non life Titta decides feel concern appearing ridiculous The first half the film may described slow some It indeed reveal Di Girolamo day night hotel an oddly disjoined deliberate pace revealing seemingly mundane irrelevant detail However scene may have seemed unnecessary reveal how essential are masterfully constructed innovative film unfolds your eye The existence Titta Di Girolamo the man no imagination identity life the unsympathetic character unexpectedly end loving feeling when least thought would also conveyed elegantly edited sequence very interesting use music one theme the Scottish band Boards Canada especially stood Never the contrast the way Hollywood Italy treat mobster odds since the release film a Le Conseguenze dell Amore L Imbalsamatore Another interesting element the way which the film made use the protagonist insomnia Not unlike The Machinist far explicit way the Al Pacino film Insomnia Le Conseguenze dell Amore us this condition symbolise deeper emotional malaise rammed deep the obscurity the unconscious almost impossible pin point cause indeed one The young sympathetic hotel waitress Sofia played by Olivia Magnani grand daughter the legendary Anna the memory Titta s best friend man he t seen year unexpectedly provide tiny window onto life Titta eventually though tentatively at first accepts look again Though s never explicitly spelt the spectator KNOWS man like Titta accepting The Consequences Love have unimaginable consequence A film without a single scene sex or violence a film that unfolds it time and concedes nothing the spectator s expectation Le Conseguenze dell Amore a fine representative that small quiet discreet Renaissance that ha taking place in Italian cinema since the decline Cinecittà the second half the s The world is waiting Italy to produce Il Postino like fare La Vita è Bella style film neglecting to explore fine creation like Le Conseguenze dell Amore L Imbalsamatore and others Your loss world,positive
34,I watched film really expecting much I got pack film were pretty terrible their way under fiver could I expect you know what I right were terrible movie few stretching interesting point occasional camcorder view nice touch drummer very like drummer e damned annoying well thats actually problem just boring in what I assume an attempt build tension whole lot nothing happens when doe utterly tedious I my thumb fast forward button ready press most the movie gave go seriously the lead singer the band that great looking coz don half mention beautiful is hell lot I thought looked a bit like a meercat I even mentioned the killer I even gon na go it just not worth explaining Anyway far I concerned Star and London just the only reason watch this and the exception London wa actually quite funny it wasn t because their acting talent I certainly seen a lot worse I also seen a lot better Best avoid unless bored of watching paint dry,negative
35,I bought film Blockbuster sounded interesting bit Ranma esque idea someone dragging around skeleton cute girl mini skirt back Restricted Viewing sticker I thought going sweet least sincere coming age story weird indie edge I wa wrong Having watched I wonder got restricted sticker since there hardly foul language little violence closest thing nudity Honestly I t usually go around hoping when girl nightgown see panty you see panty lot movie because matter she wearing miniskirt some sort Even anti religious humor tame lame caricatured insincere derivative unoriginal worst all funny the slightest would better listen Ray Stevens Would Jesus Wear a Rolex His Television Show This would barely qualify PG it Not Rated Blockbuster refuse to let anyone the age rent a it wa pornographic Any little kid could go there rent the edited version Requiem a Dream they insist Zack Reba worse It in way In a way worry the thing left could offend people is the idea the suicide at the beginning If anybody need to see movie honestly portrayed suicide this one but better one like The Virgin Suicides it s teenager If movie rated R purely because the suicide aspect I little chance turning a story I been writing a PG movie the main character eleven a half twelve Suicide is one of the top three leading cause of death in teenager I think it s number chance that teen been will be affected it Just say no to this movie though,negative
36,The plot about death little child Hopper one investigate killing During movie appears he ha trouble his daughter In end serial killer get caught That it But find who dunnit have see some terrible acting all the actor It unbelievable bad actor including Hopper I could go like but to much a waste my time Just t watch the movie I warned you,negative
37,Ever watched movie lost plot Well didn even really one begin Where begin The achingly tedious scene heroine sitting around house actually sense menace even foreboding created even apparently constant thunderstorm are strangely never actually heard house great double glazing The house apparently mile town yet several hour walk away third girl serf purpose plot except provide surprisingly quick gory murder tedium becomes unbearable Or even beginning suggests spate killing throughout the area even though apparent the killer never venture far the house Or the bizarre ritual the salt pepper pretty much sum most the film inherent lack direction Add lead actress can act least is willing completely irrelevant nude shower scene this video is truly nasty the way hope Given following simply being banned the UK the mostly final surprisingly extended murder offer nothing curiosity value one classic daft murder t worry telegraphed least ten minute After walk the wood our victim come a rather steep upward slope they obviously struggle Halfway they see a figure at the top dressed black brandishing a large scythe What they do Slide run like the rest u No course not they struggle the top stand conveniently nice and upright front of the murder weapon It really IS a movie a they say,negative
38,Okay this series kind take route here go Week week David Morse character help his ride bit pickle what wrong David Morse one greatest character actor there certainly the coolest him a series created David Koepp a great writer is heaven Due the lack love this show many I t see going to a season series you never know The amount rubbish ha made beyond that baffle let hope something good make past a first series,positive
39,After sitting this pile dung husband I wondered whether actually product an experiment see whether computer program could produce movie It listless formulaic But U S propaganda thrown your face throughout film prof disappointingly work human Call conspiracy theorist quote like We steal Declaration Independence protect seem like way justify action like invasion Iraq etc The fact that Nicholas Cage spews line like I would never use Declaration Independence bargaining chip straight face made husband wonder whether entire cast took Valium shooting scene The reasoning behind plot turn new clue truly ridiculous and impossible follow And also bonus side plot misogyny Dr Whatever Her Name Was chided all involved never shutting She clearly movie for look they felt need slap Dr title character give some gravity At one point Cage s character say Don ever shut and the camera pan her looking poutily at her hand like s a child Truly grotesque The benefit this movie wa that s astonishingly bad you do get a few laugh The really scary thing that a majority of the people watching the movie u seemed to enjoy it Creepy,negative
40,It all clichés movie type no substance The plot went nowhere at end movie I felt like sucker watching The production good however script acting B movie quality The casting poor there good actor mixed with crumby actor The good actor t hold own did lift the others This movie not worthy word I say more to meet the minimum requirement ten line James Wood Cuba Gooding Jr play caricature themselves other movie If are looking mindless entertainment I still t recommend this movie,negative
41,This movie based book A Many Splendored Thing Han Suyin tackle issue race relation Asians Whites topic come Han personal experience an Eurasian growing China That background beautiful Hong Kong setting give love story unique rather daring atmosphere it time Other story stereotypical romance memorable song that perhaps remembered movie The beautiful Jennifer Jones look part give wonderful Oscar nominated performance a doctor mixed breed the advent Communism mainland China William Holden never looked better playing a romantic lead a journalist covering war torn region in the world The acting top notch the chemistry the two lover provides some genuine moment silver screen affection sure melt the heart are romantically inclined The cinematography really brings fifty Hong Kong especially the hilltop overlooking the harbor the two lover spend most intimate moment The ending is a real tear jerker Some may consider sentimental romance passé for those who enjoy classic Hollywood love story is a shining example,positive
42,Of film I seen one The Rage got be one worst yet The direction LOGIC continuity change plot script dialog made cry pain How could ANYONE come something crappy Gary Busey know his B movie this sure W movie W waste Take example two dozen FBI local law officer surround trailer house jeep wagoneer Inside jeep MA confused all the cop about Within second huge gun battle ensues MA killed straight The cop blast away the jeep gary company blasting away them The cop fall like domino the jeep with Gary drive around in circle are hit one single bullet pellet MA killed gary seems to have noticed damn guy is tough Truly a miracle not since the six shooter held bullet there such a miracle,negative
43,I heard good thing States Grace came open mind I thought God Army okay I thought maybe Dutcher improved matured filmmaker The film began some shaky acting I thought well maybe get better Unfortunately never The picture start introducing two elder Mormon missionary it seems audience will get know grow care Instead story degenerate highly improbable series unfortunate event highlighting blatant disobedience by missionary something undeniably exists rarely level Dutcher portrays it becomes almost laughable Dutcher only success movie successful alienation his target audience By unrealistically inaccurately portraying the life Mormon missionary Dutcher accomplishes nothing angering his predominantly Mormon audience The film no way reflects reality Missions nothing like Dutcher show served a Mormon mission I attest this fact gang life California certainly contains much explicit language than the occasional mild vulgarity The conclusion I assuming supposed touch the audience inspire them believe forgiveness available all both unbelievable c mon the entire mission gather see this elder sent home the mom and the girl standing right next to each and cheesy Next time Dutcher try making a movie SOMEONE identify with,negative
44,This movie struck home me Being I remember s father working factory I figured I worked hard I pride never gave I could American Dream house few kid car call own I noted however without degree something unlike father quit ninth grade a keen sense greed laziness can get anywhere I would like know if anyone movie DVD VHS s made TV I saw hour ago Ic an t find anywhere I love to show this to friend my pseudo friend family other relative see they think remind that upon a time Americans WOULD work the sake feeling honor that had pride what accomplished I think the feeling still but a heavy downward spiral so many thing made overseas,positive
45,As disclaimer I seen movie time last year I saw musical week This allowed judge movie without tainted what or t musical however tainted when I watched musical I actually believe Michael Douglas worked quite well role along Kasey I think Let dance you scene one the best part the movie worthwhile addition compared the musical The dancer singing the movie much superior the musical well the cast least time bigger easier do the movie course The decor lighting dancing singing also much superior the movie should expected indeed delivered The song that were common the musical better done the movie the new one quite good one the whole movie just delivers the musical my opinion especially compared to a musical ha decor The one bad point the movie the obvious cut the actor talking dubbed singer the singing portion some the character their dancing is impeccable the end product wa more enjoyable than the musical,positive
46,Protocol an implausible movie whose saving grace that star Goldie Hawn along good cast supporting actor The story revolves around ditzy cocktail waitress becomes famous inadvertently saving life an Arab dignitary The story go downhill halfway the movie Goldie charm doesn save movie Unless are a Goldie Hawn fan t go of way see film,negative
47,How film could classified Drama I no idea If I John Voight Mary Steenburgen I would trying erase CV It historically accurate Xena Hercules Abraham Moses got melded Noah Lot Abraham nephew Lot turn thousand year he would been born Canaanites wandered earth really What scriptwriter thinking Was just ignorance I remember something Noah animal Lot Canaanites all stuff Sunday School were trying offend the maximum number people the planet possible from Christians Jews Muslims historian archaeologist geologist psychologist linguist a matter fact anyone get offended Anyone had even a modicum taste would winced this one,negative
